Metabolite_set,Metabolite
Peptides,Threonine
Peptides,gamma-Aminobutyric acid
Peptides,Methionine
Peptides,beta-Alanine
Peptides,Pyroglutamic acid
Peptides,Dopamine
Peptides,Dopa
Amino acids,Citrulline
Amino acids,Tyrosine
Amino acids,Glutamic acid
Amino acids,Glutamic acid
Amino acids,Tryptophan
Amino acids,Cystine
Amino acids,Serine
Amino acids,Threonine
Amino acids,gamma-Aminobutyric acid
Amino acids,gamma-Aminobutyric acid
Amino acids,Methionine
Amino acids,beta-Alanine
Amino acids,Pyroglutamic acid
Amino acids,Dopa
Amino acids,Dopa
Other amino acids,Citrulline
Other amino acids,Cystine
Other amino acids,gamma-Aminobutyric acid
Other amino acids,beta-Alanine
Other amino acids,Pyroglutamic acid
Other amino acids,Dopa
C00327  L-Citrulline,Citrulline
Tricarboxylic acids,Citric acid
Tricarboxylic acids,cis-Aconitic acid
Tricarboxylic acids,trans-Aconitic acid
C00158  Citrate,Citric acid
Anatomical Therapeutic Chemical (ATC) classification [BR:br08303(D00037)],Citric acid
"A09 DIGESTIVES, INCL. ENZYMES",Citric acid
"A09A DIGESTIVES, INCL. ENZYMES",Citric acid
A09AB Acid preparations,Citric acid
A09AB04 Citric acid,Citric acid
"D00037  Citric acid, anhydrous (USP)",Citric acid
"D00037  Citric acid, anhydrous (USP)",Citric acid
Risk category of Japanese OTC drugs [BR:br08312(D00037)],Citric acid
Anhydrous citric acid,Citric acid
Drugs listed in the Japanese Pharmacopoeia [BR:br08311(D00037)],Citric acid
D00037  Anhydrous citric acid,Citric acid
Dicarboxylic acids,Succinic acid
Dicarboxylic acids,Oxalic acid
Dicarboxylic acids,Pimelic acid
C00042  Succinate,Succinic acid
FA  Fatty acyls,Succinic acid
FA  Fatty acyls,2-Hydroxyglutaric acid
FA  Fatty acyls,5-Aminopentanoic acid
FA  Fatty acyls,Glucaric acid
FA  Fatty acyls,Diacetyl
FA  Fatty acyls,Caprylic acid
FA  Fatty acyls,Azelaic acid
FA  Fatty acyls,Traumatic acid
FA  Fatty acyls,Palmitic acid
FA  Fatty acyls,Docosahexaenoic acid
FA  Fatty acyls,Stearic acid
FA  Fatty acyls,Palmitoleic acid
FA  Fatty acyls,5-Hydroxypentanoic acid
FA  Fatty acyls,gamma-Aminobutyric acid
FA  Fatty acyls,Myristic acid
FA  Fatty acyls,4-Hydroxybutyric acid
FA  Fatty acyls,Eicosenoic acid
FA  Fatty acyls,Palmitoylcarnitine
FA  Fatty acyls,Dodecanoic acid
FA  Fatty acyls,Acetoacetic acid
FA  Fatty acyls,Octanoylcarnitine
FA  Fatty acyls,Pyruvic acid
FA  Fatty acyls,3-Oxododecanoic acid
FA  Fatty acyls,Itaconic acid
FA  Fatty acyls,8-Amino-7-oxononanoate
FA  Fatty acyls,Adrenic acid
FA  Fatty acyls,Icosadienoic acid
FA  Fatty acyls,Sebacic acid
FA  Fatty acyls,Butyric acid
FA  Fatty acyls,2-Aminomuconic acid
FA  Fatty acyls,Arachidic acid
FA  Fatty acyls,2-Aminoisobutyric acid
FA  Fatty acyls,Undecanoic acid
FA  Fatty acyls,3-Propylmalate
FA  Fatty acyls,Mesaconic acid
FA  Fatty acyls,Tuberculostearic acid
FA  Fatty acyls,Norleucine
FA  Fatty acyls,Tridecanoic acid
FA  Fatty acyls,5-Amino-2-oxopentanoic acid
FA  Fatty acyls,Pimelic acid
FA01 Fatty Acids and Conjugates,Succinic acid
FA01 Fatty Acids and Conjugates,2-Hydroxyglutaric acid
FA01 Fatty Acids and Conjugates,5-Aminopentanoic acid
FA01 Fatty Acids and Conjugates,Glucaric acid
FA01 Fatty Acids and Conjugates,Caprylic acid
